gid,name
525d4e18-3d00-31b9-a58b-a146a916de8f,[Worldwide]
aa95182f-df0a-3ad6-8bfb-4b63482cd276,Afghanistan
3519cc6e-ae19-3d2c-9b9e-575a860ef8e1,Åland Islands
1c69b790-b46b-3e92-b6b4-93b4364badbc,Albania
28242750-534a-326b-8ed6-1b03dfb88cd0,Algeria
e228a3c1-53c0-3ec9-842b-ec1b2138e387,American Samoa
e01da61e-99a8-3c76-a27d-774c3f4982f0,Andorra
2afd5d6a-5fee-3836-8783-44d0ec9ac115,Angola
eed9e8bb-b48f-30af-95f5-f178762ee515,Anguilla
aca6cbc7-4f3b-3020-8de3-c21718fe24f1,Antarctica
2a8cc14f-8d47-389b-b54d-e94312b23d27,Antigua and Barbuda
0df04709-c7d8-3b55-a6ea-f3e5069a947b,Argentina
6474fa20-e0d6-3ef2-95ce-a6f73408cd5e,Armenia
ae8222dd-0b5b-3962-9671-30375b625ce9,Aruba
106e0bec-b638-3b37-b731-f53d507dc00e,Australia
caac77d1-a5c8-3e6e-8e27-90b44dcc1446,Austria
b211ad01-2f7d-32e9-80ed-cfd6c9eb6845,Azerbaijan
f8b33963-7364-33be-8c6c-5ab2e1075ae1,Bahamas
65f4f7a6-d3c1-3a6b-a726-85e147d555b7,Bahrain
20395c3e-610c-34fd-9995-6b6f299121f2,Bangladesh
e5d8d205-81d3-3cd3-8956-d5aaa0c0173f,Barbados
660e3c48-b301-3c8c-9708-0f71d5d094d6,Belarus
5b8a5ee5-0bb3-34cf-9a75-c27c44e341fc,Belgium
6bf45af6-f1bf-357c-91b5-9593a9c32cb0,Belize
1f72ee74-2d3f-3a40-846b-e3d780b73dd2,Benin
df3bbd94-6a4c-3fc3-bb6e-cd701623db8a,Bermuda
2cbd5484-647d-3752-8acd-933ced4f9a24,Bhutan
a5aed4a3-8ce1-3ab3-bfee-b008cff6b857,Bolivia
fa3bd744-11d5-3ce1-ad1a-0254f178f9b1,"Bonaire, Sint Eustatius and Saba"
f2b64f81-6d36-35b3-94b9-5ba53d693914,Bosnia and Herzegovina
e5e11b08-d26d-341c-af28-69d3c26607f7,Botswana
3413ecd3-a1f0-3e21-a226-d9ff3ed480b7,Bouvet Island
f45b47f8-5796-386e-b172-6c31b009a5d8,Brazil
41c97db3-0719-363f-ad0b-79451e0f381b,British Indian Ocean Territory
8562c2e5-eabb-3fad-96f2-f536a93a2957,British Virgin Islands
5d1fe672-9c9a-3d58-a221-4b23e9274709,Brunei
114c14ad-9776-34e9-81b0-6299507f3771,Bulgaria
5f886d01-5c12-3abb-b8be-d758b282ab05,Burkina Faso
bd96f09c-c2a8-3996-b52f-291521b688c0,Burundi
ee26e886-87f5-33a2-8e8e-f9591490426d,Cambodia
bf132644-e3ee-3bfc-9323-7f82824e4945,Cameroon
71bbafaa-e825-3e15-8ca9-017dcad1748b,Canada
41d328a3-01da-35c2-b26e-69c56d7121d1,Cape Verde
5dd25184-711c-3e6a-b089-572cd095f287,Cayman Islands
863f49fc-16d0-3fa8-beae-242fc8ab114b,Central African Republic
6ce82d72-8123-3365-ab34-7b20581a34cf,Chad
82d5f4d6-aed4-3ff5-81d1-5363ac6e97a7,Chile
7c81bb69-a99b-3487-b6d4-0f76d7a29ca0,China
5bc803ff-c3f9-3c36-a7d6-80bc1ab4a34e,Christmas Island
3df32a28-e4b2-3c27-a85e-328e3f978bc5,Cocos (Keeling) Islands
02b60d8d-7164-339d-868d-22d147d9f74a,Colombia
f8002d93-3b43-3bb7-84dd-4766ff7e5b3b,Comoros
185bc3c4-4c5a-3f69-9384-7c280dfdf072,Congo
ef1ab25c-717b-30a8-8943-f9937aad8d1f,Cook Islands
ba544658-8266-36cb-ac0e-3bdfbf52cb00,Costa Rica
e56e3d7a-4b90-3546-8450-49548050924a,Côte d'Ivoire
7d30afff-e425-356a-873e-17ae9745b31d,Croatia
b06c4e86-97f7-3419-84a9-a23c60ea0b22,Cuba
53ccc8be-1551-3e28-965b-7f95465f2093,Curaçao
a75b525f-8c01-31f6-975e-4a32a2b001d5,Cyprus
51d34c28-61bf-3d21-849f-7492672a9d44,Czech Republic
88f49821-05a3-3bbc-a24b-bbd6b918c07b,Czechoslovakia
d1733e16-9064-3181-961d-d56f8599969b,Democratic Republic of the Congo
4757b525-2a60-324a-b060-578765d2c993,Denmark
aa560de1-9e56-38ab-8d20-6133be7f3f2a,Djibouti
9898ec17-2174-3a61-9e3b-3f51b3ee4de1,Dominica
696cb3e0-5084-30ab-9916-65ece70adbf6,Dominican Republic
d907b0ac-2956-386f-a246-62d55779aae1,East Germany
967abc0e-f680-3cde-95d0-0b79b977d410,Ecuador
8e0551f2-95c2-3cc0-a0a9-f2d344f10667,Egypt
f2fa4bfb-97aa-3db4-8d49-cc64969ce1a7,El Salvador
218e28fc-7e19-3700-b4d5-5d9199a59418,Equatorial Guinea
2005d841-29df-3445-8b5c-c981de756bd3,Eritrea
e1c1215f-dcc0-35b4-b840-d2ca2151593b,Estonia
96699ab4-4bbf-332e-b037-b0119821f792,Ethiopia
89a675c2-3e37-3518-b83c-418bad59a85a,Europe
baa270d6-bb10-38d1-87bd-42a82b4efa9c,Falkland Islands
9ed3be5f-d54c-3add-a6a6-76c0cca54fd8,Faroe Islands
aabae773-4997-37ba-950a-394c06847631,Federated States of Micronesia
031eba2b-79b5-3314-a14b-288407ad42ab,Fiji
6a264f94-6ff1-30b1-9a81-41f7bfabd616,Finland
08310658-51eb-3801-80de-5a0739207115,France
bc6f4b9a-3b76-33ca-bde3-2ae452afe66a,French Guiana
8b681e01-6c95-3b24-ae60-5cdbcb1d7dce,French Polynesia
0be4bfaf-17e0-3c0f-9f46-ed9ccdbe86a6,French Southern Territories
d14441fe-3bce-34b5-aed5-dfbe987329c9,Gabon
52641fae-20e3-3698-9fa9-1849f2c79ab8,Gambia
7e081aa0-817b-3ae0-9fe2-4bb4e3b3cc95,Georgia
85752fda-13c4-31a3-bee5-0e5cb1f51dad,Germany
cf48f4b4-28f0-39ab-9104-650324a1d1c8,Ghana
dd59627f-9549-3408-9a4a-65f7ba546290,Gibraltar
803db0ca-b6ed-3bbc-aeb8-f89efd0a2168,Greece
e9bf9b1c-5cb4-3487-88e1-19da70caa9c9,Greenland
217e2eb3-0a3a-3b59-9eaa-a7465c1417ff,Grenada
338346f8-4dc2-38e8-a009-5a3e1585348f,Guadeloupe
43dd540a-78cd-319f-bab9-214b5430f3f2,Guam
01448ddc-6ee3-3fa4-b136-507d984e31ee,Guatemala
6a89d88d-cd53-3d32-b41e-f6c7ab14649b,Guernsey
a58af0f8-b238-3da2-a57b-4aa0ff4ab574,Guinea
4f01a1af-02ca-3b28-a64f-f38c36c08879,Guinea-Bissau
c4a33ce9-580e-3d57-9c32-f75daf2f75ef,Guyana
cf25d306-7da5-3878-a2b1-a0370f847308,Haiti
457accb6-fe97-307e-89a9-bad912a60e4e,Heard Island and McDonald Islands
0c3ea915-4e49-34fc-b702-debb216fd7fa,Honduras
0373cdff-eac8-3fbc-92dc-36a607da06d1,Hong Kong
312bc5bb-7e43-3e63-81c6-b4d712b37b2c,Hungary
48802a32-075a-3805-a183-277c66047693,Iceland
d31a9a15-537f-3669-ad53-25753ddd2772,India
d3a68bd0-7419-3f99-a5bd-204d6e057089,Indonesia
a63fbc7f-af00-33c7-8616-3e86df9fc16b,Iran
b0525ccb-15e9-3c56-81fa-471db3b31cfa,Iraq
390b05d4-11ec-3bce-a343-703a366b34a5,Ireland
e9857f2e-5db7-36a0-b4a9-c7c32d1b3172,Isle of Man
03691455-bb46-37e3-91d2-cb064a35ffcc,Israel
c6500277-9a3d-349b-bf30-41afdbf42add,Italy
